id,text,author_id,public_metrics,created_at,in_reply_to_user_id,conversation_id,reply_settings,source,referenced_tweets,context_annotations,entities,user,user_name,city,state,county,country
26731882394,Ticks That Can Carry Lyme Disease Found In Ohio  NBC 4i   (http://is.gd/fR2vB),14270356,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2010-10-08T09:12:23.000Z,,26731882394,everyone,epispider,,,"{'annotations': [{'start': 43, 'end': 46, 'probability': 0.9527, 'type': 'Place', 'normalized_text': 'Ohio'}]}","{'created_at': '2008-03-31T22:55:49.000Z', 'location': 'Atlanta, GA', 'username': 'epispider', 'name': 'epispider', 'description': 'Automated tracking and visualization of outbreaks, epidemics and disasters worldwide', 'public_metrics': {'followers_count': 615, 'following_count': 10, 'tweet_count': 76026, 'listed_count': 43}}",epispider,Atlanta,Georgia,Fulton County,United States
18105636478,"@erut10 We're all being PUNK'D, Eric. We're all being PUNK'D. #lyme",129572399,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2010-07-09T09:32:40.000Z,35410938.0,18097330149,everyone,Twitter Web Client,"[{'type': 'replied_to', 'id': '18097330149'}]",,"{'hashtags': [{'start': 62, 'end': 67, 'tag': 'lyme'}], 'annotations': [{'start': 32, 'end': 35, 'probability': 0.7303, 'type': 'Person', 'normalized_text': 'Eric'}], 'mentions': [{'start': 0, 'end': 7, 'username': 'erut10', 'id': '35410938'}]}","{'username': 'Jaisibel', 'name': 'Jaisibel', 'location': 'Lawrence, KS', 'public_metrics': {'followers_count': 350, 'following_count': 715, 'tweet_count': 7252, 'listed_count': 44}, 'description': 'Writer, artist, musician, photographer...Oh wait, this is supposed to be about me?', 'created_at': '2010-04-04T19:07:30.000Z'}",Jaisibel,Lawrence,Kansas,Douglas County,United States
16874841955,In the 'Lyme' light: Local residents struggle with symptoms of debilitating ...: “I was struck with chronic fatigu... http://bit.ly/b3cxZw,29861969,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2010-06-23T20:22:38.000Z,,16874841955,everyone,twitterfeed,,,,"{'public_metrics': {'followers_count': 3710, 'following_count': 0, 'tweet_count': 15385, 'listed_count': 69}, 'location': 'LA, CA', 'created_at': '2009-04-09T00:02:56.000Z', 'description': 'Health Consultant, MLMer, Full Time Internet Marketer', 'name': 'Chronic Fatigue', 'username': 'ChronicFatigue1'}",ChronicFatigue1,Los Angeles,California,Los Angeles County,United States
9353557513867264,News12CT: Milford woman killed in Old Lyme crash http://bit.ly/e4dSmx: News12CT: Milford woman killed in Old Lym... http://bit.ly/fiNcUD,88932596,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2010-11-29T21:10:36.000Z,,9353557513867264,everyone,twitterfeed,,,"{'annotations': [{'start': 10, 'end': 16, 'probability': 0.5838, 'type': 'Place', 'normalized_text': 'Milford'}, {'start': 34, 'end': 41, 'probability': 0.8213, 'type': 'Place', 'normalized_text': 'Old Lyme'}, {'start': 81, 'end': 87, 'probability': 0.497, 'type': 'Place', 'normalized_text': 'Milford'}]}","{'name': 'Fairfield Families', 'location': 'Fairfield, CT', 'description': 'http://t.co/tci1YXUALq is a site for sharing things to do, places to go, people to see, and more for families in Fairfield, CT and nearby towns.', 'username': 'fairfieldfams', 'public_metrics': {'followers_count': 39, 'following_count': 0, 'tweet_count': 5621, 'listed_count': 0}, 'created_at': '2009-11-10T13:57:47.000Z'}",fairfieldfams,Fairfield,Connecticut,Fairfield County,United States
5014835196596224,Some of best #GF products in the market on CBS Interview make eating #glutenfree easier! www.GlutenFreeDee.com #Celiac #Lyme #Autism,47694950,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2010-11-17T21:50:04.000Z,,5014835196596224,everyone,Hootsuite,,,"{'annotations': [{'start': 43, 'end': 45, 'probability': 0.9368, 'type': 'Organization', 'normalized_text': 'CBS'}], 'hashtags': [{'start': 13, 'end': 16, 'tag': 'GF'}, {'start': 69, 'end': 80, 'tag': 'glutenfree'}, {'start': 111, 'end': 118, 'tag': 'Celiac'}, {'start': 119, 'end': 124, 'tag': 'Lyme'}, {'start': 125, 'end': 132, 'tag': 'Autism'}]}","{'username': 'GlutenFreeDee', 'description': 'Actively Seeking Position | Connecting GREAT Products to GREATful Consumers | Founder Ntl GF Food Bank Movement | Marketing & Social Media Consultant| Mentor |', 'location': 'Denver Colorado', 'public_metrics': {'followers_count': 6957, 'following_count': 7844, 'tweet_count': 19330, 'listed_count': 355}, 'name': 'Dee Valdez', 'created_at': '2009-06-16T18:08:26.000Z'}",GlutenFreeDee,Denver,Colorado,Denver County,United States
7566274847,RT @LYMEGIRLS    #Lyme patients love to watch movies from their beds! #BEDAHOLIC,19893071,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2010-01-09T19:23:40.000Z,,7566274847,everyone,Twitter Web Client,,,"{'hashtags': [{'start': 17, 'end': 22, 'tag': 'Lyme'}, {'start': 70, 'end': 80, 'tag': 'BEDAHOLIC'}]}","{'username': 'zebrafinch', 'description': 'grieving deaths of some of my dearest; empty & 💔; mostly offline for now, not replying | a duty to birds | she/her | 🌊 get to work', 'public_metrics': {'followers_count': 3147, 'following_count': 2372, 'tweet_count': 322206, 'listed_count': 450}, 'name': 'z', 'created_at': '2009-02-02T04:28:59.000Z', 'location': 'Washington, DC'}",zebrafinch,Washington,District of Columbia,District of Columbia,United States
18858931069652992,"Worth Reading: ""Chronic Lyme Disease,"" Migrant Farmworkers, and China's Pollution Data [The Pump Handle] http://bit.ly/fnHpH2 Science.alltop",68919156,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2010-12-26T02:41:34.000Z,,18858931069652992,everyone,twitterfeed,,,"{'annotations': [{'start': 64, 'end': 68, 'probability': 0.9549, 'type': 'Place', 'normalized_text': 'China'}]}","{'created_at': '2009-08-26T06:55:22.000Z', 'location': 'Palo Alto, CA', 'public_metrics': {'followers_count': 496, 'following_count': 0, 'tweet_count': 214616, 'listed_count': 50}, 'username': 'Alltop_science', 'description': 'A river of science news from http://t.co/i5jG9e08SY.', 'name': 'Alltop Science'}",Alltop_science,Palo Alto,California,Santa Clara County,United States
18739799159,"@UnaSpenser   Hi Una - thank you for yr concern the other day--I've been in very bad Lyme phase, now better. Am watching a movie now.",19893071,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2010-07-17T03:57:30.000Z,16035544.0,18739212792,everyone,Twitter Web Client,"[{'type': 'replied_to', 'id': '18739212792'}]",,"{'mentions': [{'start': 0, 'end': 11, 'username': 'UnaSpenser', 'id': '16035544'}]}","{'public_metrics': {'followers_count': 3147, 'following_count': 2372, 'tweet_count': 322207, 'listed_count': 450}, 'created_at': '2009-02-02T04:28:59.000Z', 'description': 'grieving deaths of some of my dearest; empty & 💔; mostly offline for now, not replying | a duty to birds | she/her | 🌊 get to work', 'name': 'z', 'username': 'zebrafinch', 'location': 'Washington, DC'}",zebrafinch,Washington,District of Columbia,District of Columbia,United States
9587744692,RT @CanLyme: Minnesota Medical Board agrees to potect doctors who treat Lyme disease beyond short term.  http://tinyurl.com/ybubmzo,15782253,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2010-02-24T18:51:03.000Z,,9587744692,everyone,Twitter SMS,,,"{'annotations': [{'start': 13, 'end': 35, 'probability': 0.7531, 'type': 'Organization', 'normalized_text': 'Minnesota Medical Board'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'CanLyme', 'id': '56467847'}]}","{'name': 'Jenn', 'location': 'ATL, Georgia', 'description': ""Just because it's impossible doesn't mean it can't happen! Today may be your last day. Live as if it is, say all you need to, and don't sweat the small stuff"", 'username': 'fluffyluggage', 'public_metrics': {'followers_count': 1290, 'following_count': 4695, 'tweet_count': 19131, 'listed_count': 22}, 'created_at': '2008-08-08T20:01:21.000Z'}",fluffyluggage,Atlanta,Georgia,Clayton County,United States
16939304937,RT @ruby3881: #ACarticle: Lyme Disease Steadily Increasing - Cases of Lyme disease in the US ... http://ht.ly/17S12Q,80698009,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",2010-06-24T15:51:47.000Z,,16939304937,everyone,Digsby,,,"{'mentions': [{'start': 3, 'end': 12, 'username': 'ruby3881', 'id': '11331842'}], 'hashtags': [{'start': 14, 'end': 24, 'tag': 'ACarticle'}], 'annotations': [{'start': 90, 'end': 91, 'probability': 0.8595, 'type': 'Place', 'normalized_text': 'US'}]}","{'public_metrics': {'followers_count': 334, 'following_count': 609, 'tweet_count': 3050, 'listed_count': 19}, 'created_at': '2009-10-07T22:41:45.000Z', 'description': 'will work 4 books!', 'name': 'B.J. Rychener', 'location': 'Ocean City, MD', 'username': 'bjrychener'}",bjrychener,Ocean City,Maryland,Worcester County,United States
